Stage,Criterion,l,m,u
Farm,Cost,0.6738374379996855,0.8369187189998428,1.0
Farm,Time,0.6666555314325793,0.821271795240491,0.9758880590484027
Farm,Quality,0.6639843286681149,0.8319921643340575,1.0
Trader,Cost,0.6502775296268716,0.8133755815567673,0.976473633486663
Trader,Time,0.6451505192406868,0.7946722829208748,0.9441940466010627
Trader,Quality,0.6399959698660911,0.8055401242770208,0.9710842786879504
Mandi,Cost,0.6682087892665588,0.8306133236464848,0.9930178580264106
Mandi,Time,0.6681525941929156,0.8208088555209422,0.9734651168489687
Mandi,Quality,0.6604967774466342,0.8235254754383159,0.9865541734299976
Retail,Cost,0.6295061016373302,0.787962061295144,0.9464180209529579
Retail,Time,0.6137547070414859,0.7708782968534638,0.9280018866654417
Retail,Quality,0.6670062173786311,0.8248149911819559,0.9826237649852807
Transport,Cost,0.6449870955363548,0.8092591058338499,0.9735311161313448
Transport,Time,0.6760202675500401,0.83801013377502,1.0
Transport,Quality,0.638442188508756,0.8001105843037998,0.9617789800988433
