criterion,delta_pct,Farm,Trader,Mandi,Retail,Transport,net_score
Cost,-30,1,4,2,5,3,"+7.253,-3.285,+3.039,-5.540,-1.466"
Cost,-15,1,4,2,5,3,"+7.296,-3.112,+3.147,-5.741,-1.591"
Cost,0,1,4,2,5,3,"+7.375,-2.977,+3.248,-5.933,-1.714"
Cost,15,1,4,2,5,3,"+7.436,-2.867,+3.326,-6.131,-1.764"
Cost,30,1,4,2,5,3,"+7.486,-2.776,+3.388,-6.292,-1.806"
Time,-30,1,4,2,5,3,"+7.549,-2.795,+3.460,-5.865,-2.349"
Time,-15,1,4,2,5,3,"+7.461,-2.897,+3.353,-5.900,-2.016"
Time,0,1,4,2,5,3,"+7.375,-2.977,+3.248,-5.933,-1.714"
Time,15,1,4,2,5,3,"+7.291,-3.041,+3.145,-6.003,-1.392"
Time,30,1,4,2,5,3,"+7.210,-3.095,+3.045,-6.090,-1.070"
Quality,-30,1,4,2,5,3,"+7.340,-2.866,+3.213,-6.465,-1.221"
Quality,-15,1,4,2,5,3,"+7.358,-2.924,+3.231,-6.192,-1.473"
Quality,0,1,4,2,5,3,"+7.375,-2.977,+3.248,-5.933,-1.714"
Quality,15,1,4,2,5,3,"+7.390,-3.025,+3.263,-5.685,-1.944"
Quality,30,1,4,2,5,3,"+7.424,-3.069,+3.277,-5.448,-2.184"
